安徽组播,#genre#
河南卫视,http://14.109.228.80:8000/rtp/235.254.197.27:7980
河南卫视,http://14.109.228.80:8000/rtp/235.254.199.26:7980
河北卫视,http://14.109.228.80:8000/rtp/235.254.198.184:7980
河北卫视,http://14.109.228.80:8000/rtp/235.254.199.184:7980
河北卫视,http://14.109.228.80:8000/rtp/235.254.197.37:7980
河北卫视,http://14.109.228.80:8000/rtp/235.254.199.36:7980
宁夏卫视,http://14.109.228.80:8000/rtp/235.254.197.138:7980
宁夏卫视,http://14.109.228.80:8000/rtp/235.254.197.149:7980
宁夏卫视,http://14.109.228.80:8000/rtp/235.254.197.155:7980
宁夏卫视,http://14.109.228.80:8000/rtp/235.254.199.45:7980
甘肃卫视,http://14.109.228.80:8000/rtp/235.254.197.176:7980
甘肃卫视,http://14.109.228.80:8000/rtp/235.254.197.175:7980
甘肃卫视,http://14.109.228.80:8000/rtp/235.254.199.48:7980
青海卫视,http://14.109.228.80:8000/rtp/235.254.197.129:7980
青海卫视,http://14.109.228.80:8000/rtp/235.254.199.43:7980
新疆卫视,http://14.109.228.80:8000/rtp/235.254.197.178:7980
新疆卫视,http://14.109.228.80:8000/rtp/235.254.197.170:7980
新疆卫视,http://14.109.228.80:8000/rtp/235.254.199.47:7980
西藏卫视,http://14.109.228.80:8000/rtp/235.254.197.184:7980
西藏卫视,http://14.109.228.80:8000/rtp/235.254.197.168:7980
西藏卫视,http://14.109.228.80:8000/rtp/235.254.199.46:7980
兵团卫视,http://14.109.228.80:8000/rtp/235.254.197.183:7980
兵团卫视,http://14.109.228.80:8000/rtp/235.254.197.171:7980
金鹰卡通,http://14.109.228.80:8000/rtp/235.254.199.50:7980
金鹰卡通,http://14.109.228.80:8000/rtp/235.254.197.165:7980
嘉佳卡通,http://14.109.228.80:8000/rtp/235.254.197.182:7980
嘉佳卡通,http://14.109.228.80:8000/rtp/235.254.199.110:7980
卡酷少儿,http://14.109.228.80:8000/rtp/235.254.197.166:7980
卡酷少儿,http://14.109.228.80:8000/rtp/235.254.199.49:7980
山东教育卫视,http://14.109.228.80:8000/rtp/235.254.197.54:7980
山东教育卫视,http://14.109.228.80:8000/rtp/235.254.198.153:7980
山东教育卫视,http://14.109.228.80:8000/rtp/235.254.199.153:7980
东方财经,http://14.109.228.80:8000/rtp/235.254.198.103:7980
东方财经,http://14.109.228.80:8000/rtp/235.254.199.103:7980
都市剧场,http://14.109.228.80:8000/rtp/235.254.197.151:7980
都市剧场,http://14.109.228.80:8000/rtp/235.254.197.41:7980
欢笑剧场,http://14.109.228.80:8000/rtp/235.254.197.150:7980
重庆新闻,http://14.109.228.80:8000/rtp/235.254.197.199:7980
重庆新闻,http://14.109.228.80:8000/rtp/235.254.197.104:7980
重庆影视剧,http://14.109.228.80:8000/rtp/235.254.198.180:7980
重庆影视剧,http://14.109.228.80:8000/rtp/235.254.199.180:7980
重庆影视剧,http://14.109.228.80:8000/rtp/235.254.197.105:7980
重庆文体娱乐,http://14.109.228.80:8000/rtp/235.254.198.187:7980
重庆文体娱乐,http://14.109.228.80:8000/rtp/235.254.199.187:7980
重庆文体娱乐,http://14.109.228.80:8000/rtp/235.254.197.108:7980
重庆新农村,http://14.109.228.80:8000/rtp/235.254.198.186:7980
重庆新农村,http://14.109.228.80:8000/rtp/235.254.199.186:7980
重庆新农村,http://14.109.228.80:8000/rtp/235.254.197.109:7980
重庆新农村,http://14.109.228.80:8000/rtp/235.254.198.174:7980
重庆新农村,http://14.109.228.80:8000/rtp/235.254.199.174:7980
重庆少儿,http://14.109.228.80:8000/rtp/235.254.198.166:7980
重庆少儿,http://14.109.228.80:8000/rtp/235.254.199.166:7980
重庆少儿,http://14.109.228.80:8000/rtp/235.254.197.110:7980
重庆社会与法,http://14.109.228.80:8000/rtp/235.254.198.181:7980
重庆社会与法,http://14.109.228.80:8000/rtp/235.254.199.181:7980
重庆社会与法,http://14.109.228.80:8000/rtp/235.254.197.106:7980
重庆红叶,http://14.109.228.80:8000/rtp/235.254.198.188:7980
重庆红叶,http://14.109.228.80:8000/rtp/235.254.199.188:7980
重庆红叶,http://14.109.228.80:8000/rtp/235.254.197.111:7980
重庆红岩文化,http://14.109.228.80:8000/rtp/235.254.198.182:7980
重庆红岩文化,http://14.109.228.80:8000/rtp/235.254.199.182:7980
重庆红岩文化,http://14.109.228.80:8000/rtp/235.254.197.107:7980
重庆汽摩,http://14.109.228.80:8000/rtp/235.254.198.169:7980
重庆汽摩,http://14.109.228.80:8000/rtp/235.254.199.169:7980
重庆汽摩,http://14.109.228.80:8000/rtp/235.254.197.117:7980
重庆移动,http://14.109.228.80:8000/rtp/235.254.198.170:7980
重庆移动,http://14.109.228.80:8000/rtp/235.254.199.170:7980
重庆移动,http://14.109.228.80:8000/rtp/235.254.197.113:7980
重广融媒,http://14.109.228.80:8000/rtp/235.254.197.114:7980
万州文旅,http://14.109.228.80:8000/rtp/235.254.198.200:7980
万州文旅,http://14.109.228.80:8000/rtp/235.254.199.200:7980
开州综合,http://14.109.228.80:8000/rtp/235.254.198.203:7980
开州综合,http://14.109.228.80:8000/rtp/235.254.199.203:7980
开州综合,http://14.109.228.80:8000/rtp/235.254.199.145:7980
城口综合,http://14.109.228.80:8000/rtp/235.254.198.218:7980
城口综合,http://14.109.228.80:8000/rtp/235.254.199.218:7980
巫溪综合,http://14.109.228.80:8000/rtp/235.254.198.215:7980
巫溪综合,http://14.109.228.80:8000/rtp/235.254.199.215:7980
巫山综合,http://14.109.228.80:8000/rtp/235.254.198.212:7980
巫山综合,http://14.109.228.80:8000/rtp/235.254.199.212:7980
丰都综合,http://14.109.228.80:8000/rtp/235.254.198.221:7980
丰都综合,http://14.109.228.80:8000/rtp/235.254.199.221:7980
酉阳综合,http://14.109.228.80:8000/rtp/235.254.198.236:7980
酉阳综合,http://14.109.228.80:8000/rtp/235.254.199.236:7980
石柱综合,http://14.109.228.80:8000/rtp/235.254.198.224:7980
石柱综合,http://14.109.228.80:8000/rtp/235.254.199.224:7980
武隆综合,http://14.109.228.80:8000/rtp/235.254.198.227:7980
武隆综合,http://14.109.228.80:8000/rtp/235.254.199.227:7980
IPTV3,http://14.109.228.80:8000/rtp/235.254.199.13:7980
IPTV5,http://14.109.228.80:8000/rtp/235.254.199.14:7980
央视网CCTV3,http://14.109.228.80:8000/rtp/235.254.199.88:7980
央视网CCTV5,http://14.109.228.80:8000/rtp/235.254.199.96:7980
央视网CCTV1,http://14.109.228.80:8000/rtp/235.254.199.82:7980
央视网CCTV1,http://14.109.228.80:8000/rtp/235.254.199.79:7980
求索记录,http://14.109.228.80:8000/rtp/235.254.198.251:7980
求索记录,http://14.109.228.80:8000/rtp/235.254.199.251:7980
精彩导视,http://14.109.228.80:8000/rtp/235.254.197.127:7980
精彩导视,http://14.109.228.80:8000/rtp/235.254.199.250:7980
IPTV1+,http://14.109.228.80:8000/rtp/235.254.199.80:7980
IPTV7+,http://14.109.228.80:8000/rtp/235.254.199.83:7980
IPTV9+,http://14.109.228.80:8000/rtp/235.254.199.94:7980
IPTV10+,http://14.109.228.80:8000/rtp/235.254.199.119:7980
IPTV15+,http://14.109.228.80:8000/rtp/235.254.199.77:7980
IPTV少儿,http://14.109.228.80:8000/rtp/235.254.199.15:7980
IPTV电视剧,http://14.109.228.80:8000/rtp/235.254.199.74:7980
华数卡通,http://14.109.228.80:8000/rtp/235.254.199.87:7980
华数电影1,http://14.109.228.80:8000/rtp/235.254.199.116:7980
华数电影2,http://14.109.228.80:8000/rtp/235.254.199.114:7980
华数电影3,http://14.109.228.80:8000/rtp/235.254.199.81:7980
华数电影4,http://14.109.228.80:8000/rtp/235.254.199.98:7980
华数电影5,http://14.109.228.80:8000/rtp/235.254.199.99:7980
华数电影6,http://14.109.228.80:8000/rtp/235.254.199.100:7980
华数电影7,http://14.109.228.80:8000/rtp/235.254.199.101:7980
华数电视剧1,http://14.109.228.80:8000/rtp/235.254.199.115:7980
华数电视剧2,http://14.109.228.80:8000/rtp/235.254.199.16:7980
华数电视剧3,http://14.109.228.80:8000/rtp/235.254.199.117:7980
华数电视剧4,http://14.109.228.80:8000/rtp/235.254.199.113:7980
华数电视剧5,http://14.109.228.80:8000/rtp/235.254.199.75:7980
华数电视剧6,http://14.109.228.80:8000/rtp/235.254.199.76:7980
华数电视剧7,http://14.109.228.80:8000/rtp/235.254.199.91:7980
华数电视剧8,http://14.109.228.80:8000/rtp/235.254.199.97:7980
央视网CCTV4,http://14.109.228.80:8000/rtp/235.254.199.78:7980
未识别,http://14.109.228.80:8000/rtp/235.254.198.233:7980
游戏直播,http://14.109.228.80:8000/rtp/235.254.198.134:7980
游戏直播,http://14.109.228.80:8000/rtp/235.254.198.161:7980
游戏直播,http://14.109.228.80:8000/rtp/235.254.199.161:7980
游戏直播,http://14.109.228.80:8000/rtp/235.254.199.134:7980
电影4,http://14.109.228.80:8000/rtp/235.254.199.95:7980
百事通宣传2,http://14.109.228.80:8000/rtp/235.254.197.235:7980
百事通宣传,http://14.109.228.80:8000/rtp/235.254.197.130:7980
百事通宣传,http://14.109.228.80:8000/rtp/235.254.197.131:7980
百事通宣传,http://14.109.228.80:8000/rtp/235.254.197.132:7980
百事通宣传,http://14.109.228.80:8000/rtp/235.254.197.133:7980
百事通宣传,http://14.109.228.80:8000/rtp/235.254.197.134:7980
精采导视,http://14.109.228.80:8000/rtp/235.254.198.250:7980
节目预估,http://14.109.228.80:8000/rtp/235.254.197.51:7980
重庆电信宣传,http://14.109.228.80:8000/rtp/235.254.198.209:7980
